pre_value,sta15,inc10,dec_35,sta20,inc20,dec_20
1,3.08E-07,0,9.99E-11,5.14E-12,0,0.001815533
2,1.86E-06,0,4.54E-10,6.06E-11,0,0.003502658
3,9.87E-06,0,1.95E-09,6.25E-10,0,0.006382258
4,4.57E-05,0,7.90E-09,5.64E-09,0,0.010983335
5,0.000185389,0,3.03E-08,4.46E-08,0,0.017851605
6,0.000657944,0,1.10E-07,3.08E-07,0,0.027403339
7,0.002043571,0,3.74E-07,1.86E-06,0,0.039729478
8,0.005555001,0,1.21E-06,9.87E-06,0,0.054400816
9,0.013215168,0,3.68E-06,4.57E-05,0,0.070352759
10,0.027514101,0,1.06E-05,0.000185389,0,0.085929054
11,0.05013396,0,2.88E-05,0.000657944,0,0.099124749
12,0.07994711,0,7.39E-05,0.002043571,0,0.107995918
13,0.11157518,0.070240514,0.000179155,0.005555001,0,0.111126019
14,0.136278232,0.085791958,0.000410273,0.013215168,0,0.107995918
15,0.145673131,0.0989666,0.000887361,0.027514099,0,0.099124749
16,0.136278232,0.107823616,0.001812637,0.050133957,0,0.085929054
17,0.11157518,0.110948722,0.003497069,0.079947106,0,0.070352759
18,0.07994711,0.107823616,0.006372076,0.111575174,0,0
19,0.05013396,0.0989666,0.010965812,0.136278225,0,0
20,0.027514101,0.085791958,0.017823124,0.145673124,0,0
21,0.013215168,0.070240514,0.027359618,0.136278225,0,0
22,0.005555001,0.054314022,0.039666091,0.111575174,0,0
23,0.002043571,0.039666091,0.054314022,0.079947106,0.070240515,0
24,0.000657944,0.027359618,0.070240514,0.050133957,0.085791958,0
25,0.000185389,0.017823124,0.085791958,0.027514099,0.0989666,0
26,4.57E-05,0.010965812,0.0989666,0.013215168,0.107823616,0
27,9.87E-06,0.006372076,0.107823616,0.005555001,0.110948722,0
28,1.86E-06,0.003497069,0.110948722,0.002043571,0.107823616,0
29,3.08E-07,0.001812637,0.107823616,0.000657944,0.0989666,0
30,4.46E-08,0.000887361,0.0989666,0.000185389,0.085791958,0
31,5.64E-09,0.000410273,0.085791958,4.57E-05,0.070240515,0
32,6.25E-10,0.000179155,0.070240514,9.87E-06,0.054314022,0
33,6.06E-11,7.39E-05,0,1.86E-06,0.039666091,0
34,5.14E-12,2.88E-05,0,3.08E-07,0.027359618,0
35,3.82E-13,1.06E-05,0,4.46E-08,0.017823124,0
36,2.48E-14,3.68E-06,0,5.64E-09,0.010965812,0
37,1.41E-15,1.21E-06,0,6.25E-10,0.006372076,0
38,7.03E-17,3.74E-07,0,6.06E-11,0.003497069,0
39,3.07E-18,1.10E-07,0,5.14E-12,0.001812637,0
40,1.17E-19,3.03E-08,0,3.82E-13,0.000887361,0
41,3.90E-21,7.90E-09,0,2.48E-14,0.000410273,0
42,1.14E-22,1.95E-09,0,1.41E-15,0.000179155,0
43,2.91E-24,4.54E-10,0,7.03E-17,7.39E-05,0
44,6.52E-26,9.99E-11,0,3.07E-18,2.88E-05,0
45,1.28E-27,2.07E-11,0,1.17E-19,1.06E-05,0
46,2.19E-29,4.07E-12,0,3.90E-21,3.68E-06,0
47,3.28E-31,7.54E-13,0,1.14E-22,1.21E-06,0
48,4.30E-33,1.32E-13,0,2.91E-24,3.74E-07,0
49,4.94E-35,2.18E-14,0,6.52E-26,1.10E-07,0
50,4.97E-37,3.41E-15,0,1.28E-27,3.03E-08,0
51,4.37E-39,5.02E-16,0,2.19E-29,7.90E-09,0
52,3.36E-41,7.00E-17,0,3.28E-31,1.95E-09,0
